name,street_address,type,reviews,no_of_reviews,comments,price_range,type1,type2,type3,city,state,description,weighted_ratings,text_preprocessed
coach house diner,55 state rt 4," diner, american, vegetarian friendly",4.0,84,"both times we were there very late, after 11 pm.  at that time in many diners (forget restaurants!) you get warmed-over food and lousy service.  not so here - food was uniformly very good and the service quite good.  there weren't many people but it...more",2.0,diner,american,vegetarian friendly,hackensack,nj," diner, american, vegetarian friendly both times we were there very late, after 11 pm.  at that time in many diners (forget restaurants!) you get warmed-over food and lousy service.  not so here - food was uniformly very good and the service quite good.  there weren't many people but it...more",336.0,diner american vegetarian friendly time late pm time many diner forget restaurant get warmedover food lousy service food uniformly good service quite good werent many people itmore
table talk diner,2521 south rd ste c," american, diner, vegetarian friendly",4.0,256,"waitress was very friendly but a little pricey for a diner but the food was delicious 
the menu had a wide variety of foods to choose from but any choice would have been a good one",2.0,american,diner,vegetarian friendly,poughkeepsie,ny," american, diner, vegetarian friendly waitress was very friendly but a little pricey for a diner but the food was delicious 
the menu had a wide variety of foods to choose from but any choice would have been a good one",1024.0,american diner vegetarian friendly waitress friendly little pricey diner food delicious menu wide variety food choose choice would good one
sixty vines,3701 dallas pkwy," american, wine bar, vegetarian friendly",4.5,235,"not sure why i went there for the second time. will not go again. not because it was terrible but because it is just average.  
the place needs a food clean .... our menus were filthy...the table was filthy 
it is impossible to have a...more",2.0,american,wine bar,vegetarian friendly,plano,tx," american, wine bar, vegetarian friendly not sure why i went there for the second time. will not go again. not because it was terrible but because it is just average.  
the place needs a food clean .... our menus were filthy...the table was filthy 
it is impossible to have a...more",1057.5,american wine bar vegetarian friendly sure went second time go terrible average place need food clean menu filthythe table filthy impossible amore
the clam bar,3914 brewerton rd," american, bar, seafood",4.0,285,doesn't look like much from the outside but walk in either the front door or back door and get greeted and sat almost immediately. waitress was amazing and very helpful with the very large variety that they offer. my wife and i were very satisfied...more,2.0,american,bar,seafood,syracuse,ny," american, bar, seafood doesn't look like much from the outside but walk in either the front door or back door and get greeted and sat almost immediately. waitress was amazing and very helpful with the very large variety that they offer. my wife and i were very satisfied...more",1140.0,american bar seafood doesnt look like much outside walk either front door back door get greeted sat almost immediately waitress amazing helpful large variety offer wife satisfiedmore
black angus steakhouse - federal way,2400 s 320th st," american, steakhouse, bar",4.0,220,this is an easy any time place to have dinner!  from week night to a special occasion.  the food is reasonably priced and always delicious!,2.0,american,steakhouse,bar,federal way,wa," american, steakhouse, bar this is an easy any time place to have dinner!  from week night to a special occasion.  the food is reasonably priced and always delicious!",880.0,american steakhouse bar easy time place dinner week night special occasion food reasonably priced always delicious
ziziki's,11663 preston rd," mediterranean, greek, healthy",4.5,89,"my husband and i went to greece last fall and fell in love with the beauty and the food so while on a  dallas business trip, we came across ziziki's and thought we'd give it a go knowing that this was risky after 2 weeks...more",2.0,mediterranean,greek,healthy,dallas,tx," mediterranean, greek, healthy my husband and i went to greece last fall and fell in love with the beauty and the food so while on a  dallas business trip, we came across ziziki's and thought we'd give it a go knowing that this was risky after 2 weeks...more",400.5,mediterranean greek healthy husband went greece last fall fell love beauty food dallas business trip came across zizikis thought wed give go knowing risky weeksmore
vince's italian restaurant & pizzeria,2815 ne sunset blvd," italian, pizza, vegetarian friendly",4.0,90,i love vince's pizza and i was in the neighborhood after a meeting. i had a small pizza and salad.  both were delicious and as i would expect. the service was friendly and attentive. the delivery was as quick as one can expect for a...more,2.0,italian,pizza,vegetarian friendly,renton,wa," italian, pizza, vegetarian friendly i love vince's pizza and i was in the neighborhood after a meeting. i had a small pizza and salad.  both were delicious and as i would expect. the service was friendly and attentive. the delivery was as quick as one can expect for a...more",360.0,italian pizza vegetarian friendly love vinces pizza neighborhood meeting small pizza salad delicious would expect service friendly attentive delivery quick one expect amore
john thomas steakhouse,1152 danby rd," american, steakhouse, gluten free options",4.0,258,"the ambience, food and service were all excellent. with a student at cornell we look forward to more dinners there!",3.0,american,steakhouse,gluten free options,ithaca,ny," american, steakhouse, gluten free options the ambience, food and service were all excellent. with a student at cornell we look forward to more dinners there!",1032.0,american steakhouse gluten free option ambience food service excellent student cornell look forward dinner
zaza's cucina,622 cascadilla st," italian, vegetarian friendly, gluten free options",4.0,271,"nice big dining area.  holds many people, so never feels crowded.  food and cocktails are really good.",2.0,italian,vegetarian friendly,gluten free options,ithaca,ny," italian, vegetarian friendly, gluten free options nice big dining area.  holds many people, so never feels crowded.  food and cocktails are really good.",1084.0,italian vegetarian friendly gluten free option nice big dining area hold many people never feel crowded food cocktail really good
dulin's cafe,1929 main st," cafe, american, vegetarian friendly",4.5,87,this is the place if you're into the combo of excellent and sincerely unpretentious.  i'm not usually a breakfast lover - but i'll be back here to try their corned beef on potatoes and a few other treats.,2.0,cafe,american,vegetarian friendly,vancouver,wa," cafe, american, vegetarian friendly this is the place if you're into the combo of excellent and sincerely unpretentious.  i'm not usually a breakfast lover - but i'll be back here to try their corned beef on potatoes and a few other treats.",391.5,cafe american vegetarian friendly place youre combo excellent sincerely unpretentious im usually breakfast lover ill back try corned beef potato treat
wilde rover irish pub & restaurant,111 central way," irish, bar, pub",4.0,118,"have been here before. this time it was disappointing. beer variety and selection as always good but food wasn´t worth the price-
fish and meet portion in general small and all close to well-done.
service personal wasn´t committed. once we finished the dinner plates were...more",2.0,irish,bar,pub,kirkland,wa," irish, bar, pub have been here before. this time it was disappointing. beer variety and selection as always good but food wasn´t worth the price-
fish and meet portion in general small and all close to well-done.
service personal wasn´t committed. once we finished the dinner plates were...more",472.0,irish bar pub time disappointing beer variety selection always good food wasnt worth price fish meet portion general small close welldone service personal wasnt committed finished dinner plate weremore
new world bistro bar,300 delaware ave," american, bar, vegetarian friendly",4.5,706,"came with a group of eight people, and had a wonderful evening.  the food was a wide variety, and very high quality.  service was excellent.  the flatbread deluxe hamburger was a unique burger, and extremely tasty.  the spicy grilled green bean appetizer platter was outstanding....more",2.0,american,bar,vegetarian friendly,albany,ny," american, bar, vegetarian friendly came with a group of eight people, and had a wonderful evening.  the food was a wide variety, and very high quality.  service was excellent.  the flatbread deluxe hamburger was a unique burger, and extremely tasty.  the spicy grilled green bean appetizer platter was outstanding....more",3177.0,american bar vegetarian friendly came group eight people wonderful evening food wide variety high quality service excellent flatbread deluxe hamburger unique burger extremely tasty spicy grilled green bean appetizer platter outstandingmore
red eye cafe,94 walnut st," american, cafe, healthy",4.5,104,"my first time in this part of montclair. since i arrived at 12.15 pm, there was never ending influx of customers for a good 2 hours.  as busy as this restaurant is, we were not rushed and we fully enjoyed our food while enjoying our...more",2.0,american,cafe,healthy,montclair,nj," american, cafe, healthy my first time in this part of montclair. since i arrived at 12.15 pm, there was never ending influx of customers for a good 2 hours.  as busy as this restaurant is, we were not rushed and we fully enjoyed our food while enjoying our...more",468.0,american cafe healthy first time part montclair since arrived pm never ending influx customer good hour busy restaurant rushed fully enjoyed food enjoying ourmore
winberies princeton,one palmer square," american, bar, pub",4.0,314,we brought our family here for dinner on a saturday. it was busy but the staff was very attentive and our food did not take too long. the tiger tots were amazing!  the rest of our food was good as well. a little noisy and...more,2.0,american,bar,pub,princeton,nj," american, bar, pub we brought our family here for dinner on a saturday. it was busy but the staff was very attentive and our food did not take too long. the tiger tots were amazing!  the rest of our food was good as well. a little noisy and...more",1256.0,american bar pub brought family dinner saturday busy staff attentive food take long tiger tot amazing rest food good well little noisy andmore
din tai fung,700 bellevue way ne," chinese, asian, taiwanese",4.5,1198,"din tai fung has always been inconstantly great.  the dumplings, noodles, and rice dishes are sublime and the service is fast and friendly. 

while everything is great and fresh ]make sure you do not forget your vegetables as the greens here are a work of...more",2.0,chinese,asian,taiwanese,bellevue,wa," chinese, asian, taiwanese din tai fung has always been inconstantly great.  the dumplings, noodles, and rice dishes are sublime and the service is fast and friendly. 

while everything is great and fresh ]make sure you do not forget your vegetables as the greens here are a work of...more",5391.0,chinese asian taiwanese din tai fung always inconstantly great dumpling noodle rice dish sublime service fast friendly everything great fresh make sure forget vegetable green work ofmore
ravenous,21 phila st," belgian, french, cafe",4.5,280,"the food and service were very good, but the size of the portions relative to price were a little disappointing.  they did nicely accommodate our large family gathering, which was nice!  the poutine was outstanding!more",2.0,belgian,french,cafe,saratoga springs,ny," belgian, french, cafe the food and service were very good, but the size of the portions relative to price were a little disappointing.  they did nicely accommodate our large family gathering, which was nice!  the poutine was outstanding!more",1260.0,belgian french cafe food service good size portion relative price little disappointing nicely accommodate large family gathering nice poutine outstandingmore
la hacienda ranch,4110 preston rd," steakhouse, mexican, vegetarian friendly",4.0,642,food always great and the margaritas are the best. wait staff are always courteous and friendly. best texmex in town.,2.0,steakhouse,mexican,vegetarian friendly,frisco,tx," steakhouse, mexican, vegetarian friendly food always great and the margaritas are the best. wait staff are always courteous and friendly. best texmex in town.",2568.0,steakhouse mexican vegetarian friendly food always great margarita best wait staff always courteous friendly best texmex town
breadsticks cafe & grill,1133 boardwalk," american, vegetarian friendly, vegan options",4.0,928,"we dined for lunch (group of four) and all ordered the 3-course offering for $18.99
excellent value and the quality was exceptional. food was fresh,
 hot and adequately portioned.no disappointment.

better than the food(which is hard to do)was our attentive pleasant server eden. she truly...more",2.0,american,vegetarian friendly,vegan options,atlantic city,nj," american, vegetarian friendly, vegan options we dined for lunch (group of four) and all ordered the 3-course offering for $18.99
excellent value and the quality was exceptional. food was fresh,
 hot and adequately portioned.no disappointment.

better than the food(which is hard to do)was our attentive pleasant server eden. she truly...more",3712.0,american vegetarian friendly vegan option dined lunch group four ordered course offering excellent value quality exceptional food fresh hot adequately portionedno disappointment better foodwhich hard dowas attentive pleasant server eden trulymore
revolve true food & wine bar,10024 main st," bar, contemporary, fusion",4.0,30,"took my fiancé here for valentine’s day. she discovered a while back that she has a gluten allergy which has really limited what she can eat. i on the other hand, was very skeptical. long story short, the food was delicious and i left very...more",2.0,bar,contemporary,fusion,bothell,wa," bar, contemporary, fusion took my fiancé here for valentine’s day. she discovered a while back that she has a gluten allergy which has really limited what she can eat. i on the other hand, was very skeptical. long story short, the food was delicious and i left very...more",120.0,bar contemporary fusion took fiancé valentine day discovered back gluten allergy really limited eat hand skeptical long story short food delicious left verymore
tilikum place cafe,407 cedar st," american, european, vegetarian friendly",4.5,746,"one of our favorite brunch place in seattle. came back for the second time while we were in town. food is absolutely lovely but the baked potatoes were a bit too dry for my taste. overall, great place for brunch.",2.0,american,european,vegetarian friendly,seattle,wa," american, european, vegetarian friendly one of our favorite brunch place in seattle. came back for the second time while we were in town. food is absolutely lovely but the baked potatoes were a bit too dry for my taste. overall, great place for brunch.",3357.0,american european vegetarian friendly one favorite brunch place seattle came back second time town food absolutely lovely baked potato bit dry taste overall great place brunch
bv tuscany italian restaurant,368 cedar ln," italian, vegetarian friendly, gluten free options",4.5,119,"bv tuscany is in a great location with shops and a local movie theater. we always find street parking close by. the food is delicious so fresh, excellent quality. the service is always on point so friendly too! its very romantic inside. the desserts are...more",2.0,italian,vegetarian friendly,gluten free options,teaneck,nj," italian, vegetarian friendly, gluten free options bv tuscany is in a great location with shops and a local movie theater. we always find street parking close by. the food is delicious so fresh, excellent quality. the service is always on point so friendly too! its very romantic inside. the desserts are...more",535.5,italian vegetarian friendly gluten free option bv tuscany great location shop local movie theater always find street parking close food delicious fresh excellent quality service always point friendly romantic inside dessert aremore
beso,11 schuyler st," latin, spanish, vegetarian friendly",4.5,515,this place is horrible!!!!!  they dont know how to treat customers especially when they are at fault.  this place is ran by idiots and the owner should be ashamed of who he has representing him. i was a loyal customer for 4 years and after...more,2.0,latin,spanish,vegetarian friendly,staten island,ny," latin, spanish, vegetarian friendly this place is horrible!!!!!  they dont know how to treat customers especially when they are at fault.  this place is ran by idiots and the owner should be ashamed of who he has representing him. i was a loyal customer for 4 years and after...more",2317.5,latin spanish vegetarian friendly place horrible dont know treat customer especially fault place ran idiot owner ashamed representing loyal customer year aftermore
social 37,2 route 37 w unit b2," american, bar, gastropub",4.0,123,went recently on a saturday night for a birthday celebration. we do like the atmosphere. it's loud but we didn't mind. the menu is very eclectic and appealing. problem is most everything just left the little bit to be desired. mainly not enough in the...more,2.0,american,bar,gastropub,toms river,nj," american, bar, gastropub went recently on a saturday night for a birthday celebration. we do like the atmosphere. it's loud but we didn't mind. the menu is very eclectic and appealing. problem is most everything just left the little bit to be desired. mainly not enough in the...more",492.0,american bar gastropub went recently saturday night birthday celebration like atmosphere loud didnt mind menu eclectic appealing problem everything left little bit desired mainly enough themore
ristorante paradiso,120 park ln," italian, vegetarian friendly, gluten free options",4.5,189,we live part time in italy and are tough critics of many italian restaurants in the us.  paradise surprised us with two excellent dishes that would have been very good in italy.  the pasta with cream sauce and sausage was super.  very rich and creamy...more,2.0,italian,vegetarian friendly,gluten free options,kirkland,wa," italian, vegetarian friendly, gluten free options we live part time in italy and are tough critics of many italian restaurants in the us.  paradise surprised us with two excellent dishes that would have been very good in italy.  the pasta with cream sauce and sausage was super.  very rich and creamy...more",850.5,italian vegetarian friendly gluten free option live part time italy tough critic many italian restaurant u paradise surprised u two excellent dish would good italy pasta cream sauce sausage super rich creamymore
tabernilla,7124 bob bullock loop," spanish, mediterranean, wine bar",5.0,39,"unique tapas menu - not a mexican restaurant! my waiter made excellent recommendations and of course, the small portions or “tapas”, made it ideal to try several. 

everything i ordered was de-lish!

classy, relaxing ambiance.",2.0,spanish,mediterranean,wine bar,laredo,tx," spanish, mediterranean, wine bar unique tapas menu - not a mexican restaurant! my waiter made excellent recommendations and of course, the small portions or “tapas”, made it ideal to try several. 

everything i ordered was de-lish!

classy, relaxing ambiance.",195.0,spanish mediterranean wine bar unique tapa menu mexican restaurant waiter made excellent recommendation course small portion tapa made ideal try several everything ordered delish classy relaxing ambiance
buddakan,1 atlantic ocean," chinese, asian, vegetarian friendly",4.5,742,i can't tell you enough of how amazing the food here is. the edamam ravioli are to die for. there is not one dish i didn't like. this is my favorite part of visiting atlantic city,3.0,chinese,asian,vegetarian friendly,atlantic city,nj," chinese, asian, vegetarian friendly i can't tell you enough of how amazing the food here is. the edamam ravioli are to die for. there is not one dish i didn't like. this is my favorite part of visiting atlantic city",3339.0,chinese asian vegetarian friendly cant tell enough amazing food edamam ravioli die one dish didnt like favorite part visiting atlantic city
jorge's mexican restaurant,6051 south bell street," mexican, southwestern, vegetarian friendly",4.0,111,decent service.  nothing to write home about.  got the fajitas and the meat was way over seasoned and the beef was super chewy. the tortillas were the only good thing of that meal.  my sister got the stuffed avocado meal and was not good.  it...more,2.0,mexican,southwestern,vegetarian friendly,amarillo,tx," mexican, southwestern, vegetarian friendly decent service.  nothing to write home about.  got the fajitas and the meat was way over seasoned and the beef was super chewy. the tortillas were the only good thing of that meal.  my sister got the stuffed avocado meal and was not good.  it...more",444.0,mexican southwestern vegetarian friendly decent service nothing write home got fajitas meat way seasoned beef super chewy tortilla good thing meal sister got stuffed avocado meal good itmore
ziziki's at the star,6765 winning dr," mediterranean, greek, italian",4.5,24,"great staff, super atmosphere and superb staff! if you like greek food, this place is a must!  compared to the other restaurants at the star, it is actually not overcrowded.  well worth a visit!",2.0,mediterranean,greek,italian,frisco,tx," mediterranean, greek, italian great staff, super atmosphere and superb staff! if you like greek food, this place is a must!  compared to the other restaurants at the star, it is actually not overcrowded.  well worth a visit!",108.0,mediterranean greek italian great staff super atmosphere superb staff like greek food place must compared restaurant star actually overcrowded well worth visit
